id,roomNum,created_at,updated_at
2,CS Program,2011-06-24 10:01:23,2011-06-24 10:01:23
3,CSG,2011-06-24 10:01:23,2011-06-24 10:01:23
4,ELEX,2011-06-24 10:01:23,2011-06-24 10:01:23
5,ESG,2011-06-24 10:01:23,2011-06-24 10:01:23
6,ESG Turn in,2011-06-24 10:01:23,2011-06-24 10:01:23
7,out,2011-06-24 10:01:23,2011-06-24 10:01:23
8,personal,2011-06-24 10:01:23,2011-06-24 10:01:23
9,PRC,2011-06-24 10:01:23,2011-06-24 10:01:23
10,Robotics,2011-06-24 10:01:23,2011-06-24 10:01:23
12,TH106,2011-06-24 10:01:23,2011-06-24 10:01:23
13,TH111,2011-06-24 10:01:23,2011-06-24 10:01:23
14,TH1134,2011-06-24 10:01:23,2011-06-24 10:01:23
15,TH1138,2011-06-24 10:01:23,2011-06-24 10:01:23
16,TH1140,2011-06-24 10:01:23,2011-06-24 10:01:23
17,TH1141C,2011-06-24 10:01:23,2011-06-24 10:01:23
18,TH1144,2011-06-24 10:01:23,2011-06-24 10:01:23
19,TH121,2011-06-24 10:01:23,2011-06-24 10:01:23
20,TH166,2011-06-24 10:01:23,2011-06-24 10:01:23
21,TH168,2011-06-24 10:01:23,2011-06-24 10:01:23
22,TH171,2011-06-24 10:01:23,2011-06-24 10:01:23
23,TH172,2011-06-24 10:01:23,2014-07-21 18:35:17
24,TH173,2011-06-24 10:01:23,2011-06-24 10:01:23
25,TH174,2011-06-24 10:01:23,2011-06-24 10:01:23
26,TH175,2011-06-24 10:01:23,2011-06-24 10:01:23
27,TH176,2011-06-24 10:01:23,2011-06-24 10:01:23
28,TH177,2011-06-24 10:01:23,2011-06-24 10:01:23
29,TH178,2011-06-24 10:01:23,2011-06-24 10:01:23
30,TH179,2011-06-24 10:01:23,2011-06-24 10:01:23
32,TH210,2011-06-24 10:01:23,2011-06-24 10:01:23
33,TH452,2011-06-24 10:01:23,2011-06-24 10:01:23
34,TH455,2011-06-24 10:01:23,2011-06-24 10:01:23
35,TH456,2011-06-24 10:01:23,2011-06-24 10:01:23
